,title,date,content,preprocessed_content
10,DSWD continues to provide aid to victims of city market fire,2023-05-07,"CASH ASSISTANCE — The Department of Social Welfare and Development-Cordillera handed over P10,000 each as financial assistance to the 469 beneficiaries who were victims of the Baguio City Public Market fire. DSWD Sec. Rex Gatchalian and other DSWD officials graced the event. — Neil Clark Ongchangco
The Department of Social Welfare and Development continues to provide assistance to the vendors affected by the March 11 Baguio public market fire to help them re-start and boost their business undertakings.
Department of Social Welfare and Development Sec. Rex Gatchalian, joined by DSWD-Cordillera officials headed by Regional Director Leo Quintilla, Vice Mayor Faustino Olowan, Soledad Go who represented  Rep. Mark Go, and City Social Welfare and Development Officer Liza Bulayungan, led the payout of the P10,000 Livelihood Settlement Grant to 469 beneficiaries on May 4.
The same livelihood grant under the DSWD’s Sustainable Livelihood Program was provided to 355 vendors last March 30 bringing to 824 the total number of beneficiaries. 
Quintilla said the livelihood grant given to the CSWDO-endorsed beneficiaries will help them re-start or boost their enterprises.
They do not need to pay it back, the DSWD will just monitor how they use the P10,000.
Gatchalian committed the support of the DSWD and the national government.
It is the directive of President Ferdinand “Bongbong” Marcos to prioritize the provision of assistance to victims of disasters and calamities especially to those who need it most.
“Nandito po ang DSWD kasi ang bilin nga po ng Presidente sa atin, kung may mga ganitong klaseng sakuna, lalo na sa mga maliliit nating negosyante katulad nyo, importante na nakakatulong ang gobyerno na makabangon kayong muli.”
“Hangarin ng ating Pangulong Bongbong Marcos na pinangangalagaan ang ating maliliit na negosyante na katulad nyo lalo na sa ganitong mga pagkakataon na may sakuna,” Gatchalian said.
The DSWD through the Cordillera Regional Field Office provided immediate assistance to the market fire victims by providing 1,200 family food packs.
Around P22 million financial assistance under the DSWD Assistance to Individuals in Crisis Situation Program was also provided to the city SWDO-endorsed beneficiaries. – Carlito C. Dar



",assistance department social welfare development cordillera financial assistance beneficiaries victims public market fire dswd sec rex gatchalian dswd officials department social welfare development assistance vendors public market fire help start boost department social welfare development sec rex gatchalian dswd cordillera officials regional quintilla social welfare development livelihood grant beneficiaries livelihood grant dswd livelihood program provided vendors beneficiaries quintilla said livelihood grant endorsed beneficiaries help start boost need dswd gatchalian dswd bongbong marcos assistance victims need ang dswd ang mga ganitong sakuna lalo mga maliliit negosyante katulad nyo ang ating bongbong marcos ang ating maliliit negosyante katulad nyo lalo ganitong mga sakuna gatchalian said dswd cordillera regional provided assistance market fire victims financial assistance dswd assistance program provided endorsed beneficiaries
11,26 cooperatives participate in cleanup initiative at Burnham,2023-05-07,"The city government’s urgent plea to help keep the Summer Capital “clean and orderly” has not gone unheeded.
The Baguio City Cooperative Development Council (BCCDC) in coordination with the local government through the City Mayor’s Office-Special Services Division (CMO-SSD) conducted a clean-up drive at Burnham Park.
SSD officer-in-charge Michelle Agbuya, BCCDC secretariat chief, said 147 members from 26 local cooperatives participated in the one day activity.
“This truly signifies the importance of increasing awareness of the role of cooperatives as a group and as individuals to help protect and care for the environment. They have been an active partner of the city in many of its programs and projects,” she said.
In coordination with the City Environment and Parks Management Office under lawyer Rhenan Diwas, the volunteers were divided into groups and assigned at the Rose Garden and its perimeter path walk, inner and outer lake pathways, Skating Rink and its perimeter pathwalk, Igorot Park including Ganza pay parking, and Melvin Jones, including Lake Drive.
Agbuya said the cleanup is in support of one of the city government’s main thrusts to maintain Baguio’s cleanliness and orderliness under the leadership of Mayor Benjamin Magalong. – PIO     release



",government help clean bccdc coordination local government mayor office ssd clean drive park ssd agbuya bccdc said local cooperatives one cooperatives help environment said coordination environment office perimeter lake perimeter park including including lake drive agbuya said one government mayor
12,City council gives green light for hiring of radiologic tech,2023-05-07,"The city council approved the request for the hiring one radiologic technologist  for the City Health Services office (CHSO) from March to August 2023 subject to the rules and regulations governing the employment of emergency or casual   basis     personnel.            
Under Resolution 250, s. 2023 the committee on ethics, governmental affairs, and personnel  recommended the approval of the request to hire a radiologic technician for six months in compliance with Section 77 of Republic Act 7160 or the Local Government Code of 1991.
Mayor Benjamin Magalong wrote the city council on March 13, requesting for the hiring of one radiologic technologist for the CHSO on a casual employment status from March to December.
This is to give ample time for the training and turnover of duties of Rodolfo Paraguison, the current radiologic technologist, who is retiring in June.
In a certificate of availability of funds dated March 13, the city’s Local Finance Committee certified P563,000 is available under the 2023 appropriations of the CHSO earmarked for personnel services of plantilla items.
The CHSO needs the services of a radiologic technologist because of the daily volume of people needing to undergo x-ray examination as part of the requirement for their employment and for other purposes.
Radiologic technologists are one of the highly skilled personnel in demand in private and public institutions locally and overseas courtesy of their expertise in handling state-of-the-art x-ray equipment in laboratories. – PIO release



",council request hiring one radiologic technologist services chso employment casual personnel committee personnel request radiologic local council hiring one radiologic technologist chso casual employment radiologic technologist local committee chso personnel services chso services radiologic technologist ray employment radiologic one personnel ray
13,Castaway music fest at SM,2023-05-07,"The Castaway Music Festival is happening again at SM Supermalls in North Luzon with a great line-up of artists set to perform at SM City Baguio on May 14. 
Castaway Music Festival is a touring concert event every summer. The Baguio audience will have the opportunity to jam with their favorite bands featu-ring Disco Grenade, Dilaw, and Hale, as they take centerstage at The Drive.   
Shoppers may redeem tickets by presenting single or accumulated receipt of purchase worth P1,000 for one ge-neral admission pass and P5,000 worth single or accumula-                                               ted receipt of purchase for one VIP pass from April 18 to May 14.
Mall goers can visit the Castaway Redemption Booth at the Level 3 of SM City Baguio.
The biggest summer music festival is also returning to other SM Supermalls in North Luzon, namely SM Megacenter Cabanatuan, SM City Clark, SM City Tuguegarao, SM City Rosales, SM City Baguio, SM City San Fernando Downtown, SM City Olongapo Central, SM City Telabastagan, SM Center Tuguegarao Downtown, SM City Cabanatuan, and SM City Baliwag.
SM Supermalls introduced the festival in 2014, which was headlined by the country’s biggest music superstars.
After a three-year hiatus due to the pandemic, the Castaway Music Festival is making its return. 
Follow SM City Baguio Official Facebook page for more details on ticket redemptions. – Press release



",castaway music festival supermalls north luzon castaway music festival summer single receipt purchase worth one pass worth single receipt purchase one pass castaway biggest summer music festival supermalls north luzon cabanatuan tuguegarao downtown tuguegarao downtown cabanatuan supermalls festival biggest music castaway music festival
0,EID AL-FITR,2023-04-30,"EID AL-FITR — Muslims based in Baguio and Benguet gathered at the Melvin Jones football field on April 22 to pray, as they observed Eid Al-Fitr, or the end of the Ramadan, which is also known as the “festival of breaking the fast”. The Eid day celebration starts with a prayer service that takes place shortly after dawn, followed by a short sermon. Traditionally, it is celebrated for three days in Muslim-majority countries. The number of holidays varies by country. — Neil Clark Ongchangco



",eid fitr eid fitr eid
1,"CEO: 1,200 properties encroached on RROW",2023-04-30,"Around 1,200 property owners in the city have been found encroaching road rights-of-way (RROW).
The finding was reported based on the ongoing RROW recovery program of the city government that has so far mapped an estimated 40 percent of the Baguio’s 128 barangays.
In a media forum on April 26, Engr. Januario Borillo, chief of the City Engineering Office’s Traffic and Transportation Management Division, said more or less 37,000 square meters of RROW have been encroached at present.
He said his office, in coordination with the City Treasury Office (CTO), plans to do a mapping project that would specify individual owners whose structures have occupied RROWs.
The number of square meters of RROW these structures have occupied will then be determined and the appropriate rent may be charged the erring lot owners, Borillo said.
“These rentals could be a source of additional revenue for the city government that will be allocated to support its ongoing RROW recovery program, which has a limited budget,” he said.
Borillo added a problem possibly faced by some of those applying for building permits is that they may not know that their structures have already encroached on RROW.
“In this matter, our office can help them by mapping the barangays where these owners can see whether their structures have gone out of their property lines or not. This is where the RROW recovery program can help them,” he said. 
The RROW recovery program primarily aims to help ease the city’s traffic situation along major thoroughfares and ensure these are compliant to the standard width. – Gaby B. Keith



",property owners rrow ongoing rrow recovery program government barangays borillo office traffic said square meters rrow encroached said office office mapping owners structures occupied square meters rrow structures occupied owners borillo said government ongoing rrow recovery program said borillo structures encroached rrow office help mapping barangays owners structures property rrow recovery program help said rrow recovery program help traffic
2,COMMENDING UC STUDENT,2023-04-30,"COMMENDING UC STUDENT — Baguio City officials led by Mayor Benjamin Magalong and Vice Mayor Faustino Olowan commended Ana Sophia Estrada of the University of the Cordilleras Integrated School for winning first place in the Science Quiz Bee under Grade 9  category of the National Battle of Math and Science Champions recently. — Mayor Benjamin Magalong FB photo



",mayor benjamin magalong mayor science science mayor benjamin magalong
3,Police to taxi drivers: Dashcams important,2023-04-30,"Following the robbery of a taxi driver in Baguio City by two male suspects, the Baguio City Police Office reminds drivers to have dash cameras installed in their vehicles.
BCPO Abanao Police Station commander Maj. Lee Alvin Alinao, in an interview with PTV-Cordillera, said taxi drivers and operators should make sure that their dashcams are working properly.
The incident, which happened at 3 a.m. of April 26 in front of the University of the Cordilleras gate 5, was caught in the dashcam of the taxi.  
The suspects, wearing face masks and baseball caps, boarded along Marcos Highway and told the driver to bring them to the night market at Harrison Road. 
But upon reaching the ill-lighted area along Harrison Road, the suspects announced a holdup where one of the suspects placed a knife around the victim’s neck.
It could be seen and heard from the footage of the dashcam the driver was pleading for the suspects to get his earnings for the day, but spare his life as he has a family to come home to. 
In the police report, it stated the victim grabbed the suspect’s hand holding the knife to remove it from his neck. Taking his chance, he dashed out of the taxi and ran towards Burnham Park where he reported to the tourist police unit in the area.
Police personnel immediately conducted a search for the area which led to the arrest of the suspects who were found at Burnham Park.
The 17-year-old suspect was committed to the City Social Welfare and Development Office Bahay Pag-asa for being a minor, while the 19-year-old suspect was brought to the Baguio City Jail. They are facing a case of attempted robbery with violence.
The 33-year-old victim sustained lacerations in his neck and right wrist and was discharged from the hospital in stable condition.
Alinao said the incident is the first robbing incident for a taxi driver to be reported this year. He advised taxi drivers to take extra precaution when on duty especially on the wee hours of the morning. – Ofelia C. Empian



",robbery taxi driver suspects police office drivers police alinao said taxi drivers incident dashcam taxi suspects along driver harrison road area along harrison road suspects suspects knife victim neck dashcam driver suspects police victim suspect knife neck taxi burnham park reported police area police area suspects burnham park year old suspect office year old suspect robbery year old victim neck alinao said incident incident taxi driver reported year taxi drivers
4,P5 M allocation for Kennon tourist area dev’t approved,2023-04-30,"The city council has approved the allocation of P5 million as the city government’s counterpart to the development of a tourist rest area along Kennon Road.
The approval came with the condition that the agreement between the Department of Environment and Natural Resources and Mayor Benjamin Magalong that involves the city’s payment of lease to the DENR will be submitted for ratification.
The city council earlier sought a clarification on the agreement in which the city government is being asked to lease from the DENR the area identified as tourist rest site along Kennon Road.
The allocation of P5M for the site development at Kennon was identified as a priority project and is part of the supplemental budget earlier submitted for council approval, but was then deferred pending an explanation on the lease contract.
City Planning, Development, and Sustainability Office head Donna Tabangin told the council the original plan was for the DENR and the city government sign a memorandum of agreement to share the profits that will be derived from the area where a structure that will accommodate a souvenir shop, cafe, and toilets, including parking, will be constructed using the P9M grant from the Tourism Infrastructure and Enterprise Zone Authority (Tieza).
Tabangin said when the MOA was forwarded to the DENR central office, the former asked the city to instead lease the property for P220,000 annually. The DENR owns the 1,500-square meter area.
She said the city will engage a third party to operate the tourism rest area and pay a monthly rent of P800 per square meter.
Asked by Councilor Benny Bomogao how much the city government is projected to earn from subleasing the property, Tabangin said on the first year, the income from a lease of P800 per square meter would be P1,267,000.
“If the city spends for the maintenance of the building, the net profit on the first year would be P446,700,” she said.
Councilor Jose Molintas asked if the city government could instead request from the DENR the free use of the property, but City Administrator Bonifacio dela Peña said the mayor already negotiated with the DENR to lower the lease to P220,000 yearly.
“The DENR asked for a lease of P2.2M yearly, but the mayor negotiated and was able to lower it to P220,000 annually or P22,000 monthly,” he said.
Department of Tourism-Cordillera Legal Officer Brenden Quintos said the agency is waiting for the finalization of the agreement between Baguio and DENR before it can proceed with the issuance of documents for the P9M grant to be released by Tieza. – Jane B. Cadalig



",council allocation government development tourist rest area along kennon road approval agreement department mayor lease denr submitted council earlier agreement government asked lease denr area identified tourist rest site along kennon road allocation site development kennon identified earlier submitted council approval lease development office tabangin council denr government agreement area grant tourism tieza tabangin said denr office asked instead lease property annually denr square meter area said tourism rest area monthly per square meter asked councilor government property tabangin said first year lease per square meter would first year would said councilor asked government instead denr property said mayor negotiated denr lower lease yearly denr asked lease yearly mayor negotiated lower annually monthly said department tourism said agreement denr grant tieza
5,"With sporadic rains, city sounds off dengue alert",2023-04-30,"Mayor Benjamin Magalong advised residents to be on guard against dengue fever this early as the city experiences intermittent rains especially in the afternoons.
The mayor said dengue has been a serious health concern as every year, cases rise during rainy seasons experienced from June to October.
“But as we are now experiencing sporadic rains, we need to observe preventive measures like ridding our surroundings of mosquito breeding places to make sure that dengue-carrying mosquitoes will not thrive,” the mayor said.
The City Health Services Office has always advised residents on practicing the 4S strategy: search and destroy mosquito breeding places; self-protection measures (use window screens, mosquito nets, wear protective clothing, use insect repellents); seek early consultation; and say no to indiscriminate fogging.
“Walang dengue kung walang lamok. Walang lamok kung walang breeding places. Walang breeding places kung malinis ang kapaligiran. Ugaliing mag-search and destroy at gawin nang sabay-sabay upang siguradong mawalan ng breeding places ang mga dengue-carrying mosquitoes,” advised Dr. Donnabel Panes, head of the City Epidemiology Surveillance Unit of the CHSO.
Engr. Charles Carame of the CHSO Sanitation Division said the CHSO’s dengue strategy follows the Prevent-Detect-Isolate-Treatment-Reintegration (PDITR) model: 
Prevent through the 4S strategy;
Detect through rapid testing and conduct of larval surveillance where samples of kiti-kiti are studied to predict an impending outbreak;
Isolate through a campaign for dengue-infected individuals to protect themselves from being bitten;
Treatment through an aggressive case reporting system and provision of dengue wards and fast lanes in hospitals; and
Reintegration through the sustained conduct of the strategies with the fact that dengue immunity does not cover all strains as a motivation. – Aileen P. Refuerzo



",mayor advised residents dengue early rains mayor said dengue health rains measures mosquito breeding places dengue carrying mosquitoes mayor said health advised residents strategy search destroy mosquito breeding places measures use mosquito use early walang dengue kung walang lamok walang lamok kung walang breeding places walang breeding places kung ang search destroy sabay sabay breeding places ang dengue carrying mosquitoes advised surveillance chso chso said chso dengue strategy prevent detect isolate treatment reintegration prevent strategy detect conduct surveillance kiti kiti isolate dengue treatment dengue reintegration conduct dengue
